src_host,dst_host,avg_rtt_ms,packet_loss_pct
h1,h30,126.319,0
h1,h31,101.618,0
h1,h32,108.247,0
h1,h33,107.835,0
h1,h34,100.330,0
h1,h35,92.896,0
h1,h36,109.315,0
h1,h37,104.736,0
h1,h38,89.128,0
h1,h39,98.247,0
h1,h2,95.795,0
h1,h3,108.493,0
h1,h4,116.318,0
h1,h5,110.719,0
h1,h6,107.583,0
h1,h7,123.134,0
h1,h8,108.165,0
h1,h9,101.488,0
h1,h10,100.647,0
h1,h11,102.584,0
h1,h12,98.676,0
h1,h13,110.797,0
h1,h14,102.011,0
h1,h15,102.983,0
h1,h16,101.820,0
h1,h17,100.228,0
h1,h18,112.284,0
h1,h19,100.747,0
h1,h20,97.330,0
h1,h21,99.510,0
h1,h22,106.486,0
h1,h23,101.440,0
h1,h24,102.276,0
h1,h25,101.758,0
h1,h26,107.658,0
h1,h27,97.573,0
h1,h28,114.215,0
h1,h29,100.222,0
h1,h30,109.692,0
h1,h31,107.278,0
h1,h32,116.077,0
h1,h33,106.194,0
h1,h34,121.614,0
h1,h35,103.274,0
h1,h36,104.674,0
h1,h37,100.174,0
h1,h38,96.520,0
h1,h39,98.355,0
h1,h2,106.913,0
h1,h3,99.819,0
h1,h4,101.526,0
h1,h5,104.050,0
h1,h6,98.706,0
h1,h7,100.312,0
h1,h8,96.820,0
h1,h9,99.441,0
h1,h10,98.827,0
h1,h11,95.305,0
h1,h12,96.261,0
h1,h13,109.264,0
h1,h14,107.145,0
h1,h15,107.675,0
h1,h16,106.256,0
h1,h17,103.951,0
h1,h18,97.770,0
h1,h19,98.372,0
h1,h20,104.797,0
h1,h21,101.752,0
h1,h22,108.715,0
h1,h23,106.682,0
h1,h24,108.318,0
h1,h25,99.969,0
h1,h26,100.039,0
h1,h27,93.272,0
h1,h28,96.904,0
h1,h29,96.398,0
h1,h30,106.706,0
h1,h31,111.113,0
h1,h32,94.620,0
h1,h33,95.134,0
h1,h34,105.459,0
h1,h35,97.956,0
h1,h36,91.587,0
h1,h37,95.667,0
h1,h38,99.647,0
h1,h39,101.735,0
h1,h2,94.831,0
h1,h3,98.343,0
h1,h4,97.386,0
h1,h5,99.342,0
h1,h6,94.845,0
h1,h7,99.314,0
h1,h8,96.577,0
h1,h9,99.949,0
h1,h10,92.385,0
h1,h11,98.106,0
h1,h12,98.026,0
h1,h13,100.937,0
h1,h14,95.959,0
h1,h15,91.093,0
h1,h16,95.645,0
h1,h17,98.382,0
h1,h18,97.074,0
h1,h19,94.136,0
h1,h20,97.631,0
h1,h21,106.577,0
h1,h22,99.811,0
h1,h23,97.375,0
h1,h24,104.043,0
h1,h25,95.247,0
h1,h26,101.504,0
h1,h27,93.857,0
h1,h28,96.062,0
h1,h29,92.210,0
h1,h30,106.092,0
h1,h31,91.421,0
h1,h32,99.429,0
h1,h33,97.104,0
h1,h34,96.698,0
h1,h35,92.237,0
h1,h36,96.376,0
h1,h37,115.832,0
h1,h38,97.384,0
h1,h39,93.956,0
h1,h2,98.387,0
h1,h3,108.206,0
h1,h4,111.271,0
h1,h5,91.996,0
h1,h6,105.768,0
h1,h7,93.046,0
h1,h8,106.561,0
h1,h9,112.270,0
h1,h10,111.527,0
h1,h11,101.320,0
h1,h12,108.083,0
h1,h13,96.750,0
h1,h14,100.396,0
h1,h15,108.118,0
h1,h16,111.369,0
h1,h17,102.304,0
h1,h18,108.280,0
h1,h19,105.657,0
h1,h20,112.714,0
h1,h21,113.940,0
h1,h22,101.492,0
h1,h23,101.253,0
h1,h24,97.437,0
h1,h25,109.810,0
h1,h26,100.739,0
h1,h27,103.300,0
h1,h28,105.498,0
h1,h29,116.005,0
h1,h30,98.389,0
h1,h31,114.298,0
h1,h32,108.641,0
h1,h33,107.952,0
h1,h34,96.876,0
h1,h35,109.263,0
h1,h36,112.013,0
h1,h37,99.277,0
h1,h38,106.771,0
h1,h39,102.393,0
h1,h2,98.136,0
h1,h3,94.360,0
h1,h4,109.980,0
h1,h5,93.450,0
h1,h6,100.607,0
h1,h7,93.571,0
h1,h8,105.650,0
h1,h9,99.476,0
h1,h10,98.673,0
h1,h11,95.034,0
h1,h12,100.352,0
h1,h13,102.263,0
h1,h14,91.436,0
h1,h15,101.243,0
h1,h16,98.824,0
h1,h17,103.972,0
h1,h18,102.098,0
h1,h19,100.803,0
h1,h20,96.836,0
h1,h21,93.545,0
h1,h22,97.601,0
h1,h23,97.459,0
h1,h24,92.389,0
h1,h25,97.797,0
h1,h26,94.783,0
h1,h27,100.933,0
h1,h28,104.805,0
h1,h29,99.334,0
h1,h30,97.339,0
h1,h31,95.302,0
h1,h32,95.696,0
h1,h33,100.368,0
h1,h34,101.702,0
h1,h35,102.000,0
h1,h36,95.145,0
h1,h37,100.664,0
h1,h38,91.125,0
h1,h39,97.902,0
h1,h2,103.619,0
h1,h3,97.623,0
h1,h4,101.244,0
h1,h5,100.846,0
h1,h6,94.374,0
h1,h7,92.015,0
h1,h8,100.907,0
h1,h9,93.661,0
h1,h10,95.514,0
h1,h11,101.071,0
h1,h12,100.018,0
h1,h13,100.476,0
h1,h14,115.687,0
h1,h15,104.180,0
h1,h16,103.037,0
h1,h17,98.741,0
h1,h18,94.590,0
h1,h19,98.517,0
h1,h20,90.357,0
h1,h21,99.897,0
h1,h22,98.102,0
h1,h23,101.911,0
h1,h24,98.247,0
h1,h25,97.626,0
h1,h26,103.079,0
h1,h27,95.995,0
h1,h28,100.595,0
h1,h29,99.437,0
h1,h30,99.509,0
h1,h31,93.649,0
h1,h32,105.233,0
h1,h33,98.363,0
h1,h34,99.182,0
h1,h35,100.052,0
h1,h36,97.085,0
h1,h37,95.622,0
h1,h38,98.360,0
h1,h39,94.196,0
h1,h2,105.887,0
h1,h3,108.526,0
h1,h4,99.778,0
h1,h5,110.014,0
h1,h6,103.405,0
h1,h7,97.904,0
h1,h8,101.043,0
h1,h9,103.144,0
h1,h10,94.516,0
h1,h11,92.250,0
h1,h12,96.936,0
h1,h13,97.246,0
h1,h14,105.403,0
h1,h15,110.410,0
h1,h16,105.415,0
h1,h17,103.907,0
