timestep,time_seconds,time_hours,pmu_id,gen_bus,rank,importance_score
46,230,0.063888889,4,34,4,0.223731904
46,230,0.063888889,8,38,5,0.202292934
46,230,0.063888889,2,32,6,0.194541313
46,230,0.063888889,7,37,7,0.182235327
46,230,0.063888889,9,39,8,0.002160433
46,230,0.063888889,6,36,9,0.001209148
46,230,0.063888889,10,31,10,0
47,235,0.065277778,5,35,1,0.3
47,235,0.065277778,3,33,2,0.286801393
47,235,0.065277778,1,30,3,0.235223918
47,235,0.065277778,4,34,4,0.223700403
47,235,0.065277778,8,38,5,0.202270062
47,235,0.065277778,2,32,6,0.194800885
47,235,0.065277778,7,37,7,0.182240126
47,235,0.065277778,9,39,8,0.00216074
47,235,0.065277778,6,36,9,0.001209144
47,235,0.065277778,10,31,10,0
48,240,0.066666667,5,35,1,0.3
48,240,0.066666667,3,33,2,0.286801013
48,240,0.066666667,1,30,3,0.235222678
48,240,0.066666667,4,34,4,0.223700536
48,240,0.066666667,8,38,5,0.202270137
48,240,0.066666667,2,32,6,0.194795278
48,240,0.066666667,7,37,7,0.182239407
48,240,0.066666667,9,39,8,0.002160724
48,240,0.066666667,6,36,9,0.001209143
48,240,0.066666667,10,31,10,0
49,245,0.068055556,5,35,1,0.3
49,245,0.068055556,3,33,2,0.286781446
49,245,0.068055556,1,30,3,0.235090582
49,245,0.068055556,4,34,4,0.22377413
49,245,0.068055556,8,38,5,0.202323697
49,245,0.068055556,2,32,6,0.194171282
49,245,0.068055556,7,37,7,0.182225176
49,245,0.068055556,9,39,8,0.002159961
49,245,0.068055556,6,36,9,0.001209146
49,245,0.068055556,10,31,10,0
50,250,0.069444444,5,35,1,0.3
50,250,0.069444444,3,33,2,0.2868049
50,250,0.069444444,1,30,3,0.235252084
50,250,0.069444444,4,34,4,0.223682816
50,250,0.069444444,8,38,5,0.20225728
50,250,0.069444444,2,32,6,0.194932184
50,250,0.069444444,7,37,7,0.182240604
50,250,0.069444444,9,39,8,0.00216087
50,250,0.069444444,6,36,9,0.001209138
50,250,0.069444444,10,31,10,0
51,255,0.070833333,5,35,1,0.3
51,255,0.070833333,3,33,2,0.286784998
51,255,0.070833333,1,30,3,0.235118127
51,255,0.070833333,4,34,4,0.223757273
51,255,0.070833333,8,38,5,0.202311324
51,255,0.070833333,2,32,6,0.19430321
51,255,0.070833333,7,37,7,0.182226824
51,255,0.070833333,9,39,8,0.0021601
51,255,0.070833333,6,36,9,0.001209141
51,255,0.070833333,10,31,10,0
52,260,0.072222222,5,35,1,0.3
52,260,0.072222222,3,33,2,0.286795358
52,260,0.072222222,1,30,3,0.23519058
52,260,0.072222222,4,34,4,0.223715855
52,260,0.072222222,8,38,5,0.202281139
52,260,0.072222222,2,32,6,0.194645988
52,260,0.072222222,7,37,7,0.182233525
52,260,0.072222222,9,39,8,0.002160503
52,260,0.072222222,6,36,9,0.001209137
52,260,0.072222222,10,31,10,0
53,265,0.073611111,5,35,1,0.3
53,265,0.073611111,3,33,2,0.286768501
53,265,0.073611111,1,30,3,0.235006792
53,265,0.073611111,4,34,4,0.223819122
53,265,0.073611111,8,38,5,0.202356688
53,265,0.073611111,2,32,6,0.193767077
53,265,0.073611111,7,37,7,0.182212473
53,265,0.073611111,9,39,8,0.002159436
53,265,0.073611111,6,36,9,0.001209141
53,265,0.073611111,10,31,10,0
54,270,0.075,5,35,1,0.3
54,270,0.075,3,33,2,0.286778622
54,270,0.075,1,30,3,0.235078833
54,270,0.075,4,34,4,0.22377752
54,270,0.075,8,38,5,0.202326078
54,270,0.075,2,32,6,0.194115712
54,270,0.075,7,37,7,0.182220347
54,270,0.075,9,39,8,0.002159844
54,270,0.075,6,36,9,0.001209137
54,270,0.075,10,31,10,0
55,275,0.076388889,5,35,1,0.3
55,275,0.076388889,3,33,2,0.286791585
55,275,0.076388889,1,30,3,0.235168992
55,275,0.076388889,4,34,4,0.223726233
55,275,0.076388889,8,38,5,0.202288615
55,275,0.076388889,2,32,6,0.194544932
55,275,0.076388889,7,37,7,0.182229527
55,275,0.076388889,9,39,8,0.002160354
55,275,0.076388889,6,36,9,0.001209133
55,275,0.076388889,10,31,10,0
56,280,0.077777778,5,35,1,0.3
56,280,0.077777778,3,33,2,0.286776265
56,280,0.077777778,1,30,3,0.235064739
56,280,0.077777778,4,34,4,0.223784568
56,280,0.077777778,8,38,5,0.202331219
56,280,0.077777778,2,32,6,0.194048137
56,280,0.077777778,7,37,7,0.182217719
56,280,0.077777778,9,39,8,0.002159749
56,280,0.077777778,6,36,9,0.001209135
56,280,0.077777778,10,31,10,0
57,285,0.079166667,5,35,1,0.3
57,285,0.079166667,3,33,2,0.286781231
57,285,0.079166667,1,30,3,0.235100421
57,285,0.079166667,4,34,4,0.223763815
57,285,0.079166667,8,38,5,0.202315994
57,285,0.079166667,2,32,6,0.194219548
57,285,0.079166667,7,37,7,0.182221168
57,285,0.079166667,9,39,8,0.002159946
57,285,0.079166667,6,36,9,0.001209133
57,285,0.079166667,10,31,10,0
58,290,0.080555556,5,35,1,0.3
58,290,0.080555556,3,33,2,0.286762133
58,290,0.080555556,1,30,3,0.234968356
58,290,0.080555556,4,34,4,0.223838429
58,290,0.080555556,8,38,5,0.202370875
58,290,0.080555556,2,32,6,0.193579708
58,290,0.080555556,7,37,7,0.18220477
58,290,0.080555556,9,39,8,0.002159172
58,290,0.080555556,6,36,9,0.001209135
58,290,0.080555556,10,31,10,0
59,295,0.081944444,5,35,1,0.3
59,295,0.081944444,3,33,2,0.286797763
59,295,0.081944444,1,30,3,0.235215706
59,295,0.081944444,4,34,4,0.223698114
59,295,0.081944444,8,38,5,0.202268138
59,295,0.081944444,2,32,6,0.19476462
59,295,0.081944444,7,37,7,0.182231916
59,295,0.081944444,9,39,8,0.00216059
59,295,0.081944444,6,36,9,0.001209126
59,295,0.081944444,10,31,10,0
60,300,0.083333333,5,35,1,0.3
60,300,0.083333333,3,33,2,0.286806443
60,300,0.083333333,1,30,3,0.235275038
60,300,0.083333333,4,34,4,0.223664793
60,300,0.083333333,8,38,5,0.202244074
60,300,0.083333333,2,32,6,0.195039746
60,300,0.083333333,7,37,7,0.182236833
60,300,0.083333333,9,39,8,0.002160921
60,300,0.083333333,6,36,9,0.001209122
60,300,0.083333333,10,31,10,0
61,305,0.084722222,5,35,1,0.3
61,305,0.084722222,3,33,2,0.28680213
61,305,0.084722222,1,30,3,0.235247299
61,305,0.084722222,4,34,4,0.223679648
61,305,0.084722222,8,38,5,0.202254757
61,305,0.084722222,2,32,6,0.194911795
61,305,0.084722222,7,37,7,0.182233848
61,305,0.084722222,9,39,8,0.002160756
61,305,0.084722222,6,36,9,0.001209122
61,305,0.084722222,10,31,10,0
62,310,0.086111111,5,35,1,0.3
62,310,0.086111111,3,33,2,0.286765719
62,310,0.086111111,1,30,3,0.234998666
62,310,0.086111111,4,34,4,0.223818998
62,310,0.086111111,8,38,5,0.202356463
62,310,0.086111111,2,32,6,0.193728452
62,310,0.086111111,7,37,7,0.182206373
62,310,0.086111111,9,39,8,0.002159317
