step,h1-h30_score,h1-h30_kappa_f,h1-h30_r_f,h1-h30_phi_f,h1-h30_age,h1-h30_status,h1-h31_score,h1-h31_kappa_f,h1-h31_r_f,h1-h31_phi_f,h1-h31_age,h1-h31_status,h1-h32_score,h1-h32_kappa_f,h1-h32_r_f,h1-h32_phi_f,h1-h32_age,h1-h32_status,h1-h33_score,h1-h33_kappa_f,h1-h33_r_f,h1-h33_phi_f,h1-h33_age,h1-h33_status,h1-h34_score,h1-h34_kappa_f,h1-h34_r_f,h1-h34_phi_f,h1-h34_age,h1-h34_status,h1-h35_score,h1-h35_kappa_f,h1-h35_r_f,h1-h35_phi_f,h1-h35_age,h1-h35_status,h1-h36_score,h1-h36_kappa_f,h1-h36_r_f,h1-h36_phi_f,h1-h36_age,h1-h36_status,h1-h37_score,h1-h37_kappa_f,h1-h37_r_f,h1-h37_phi_f,h1-h37_age,h1-h37_status,h1-h38_score,h1-h38_kappa_f,h1-h38_r_f,h1-h38_phi_f,h1-h38_age,h1-h38_status,h1-h39_score,h1-h39_kappa_f,h1-h39_r_f,h1-h39_phi_f,h1-h39_age,h1-h39_status
198,2.315,0.705,0.2695,1.0,1,SELECTED,2.114,0.39,0.0532,1.0,10,BLOCKED,2.2067,0.57,0.038,1.0,10,BLOCKED,2.4896,0.75,0.3309,1.0,1,SELECTED,2.2953,0.66,0.1643,1.0,4,BLOCKED,2.4018,0.795,0.2754,1.0,1,SELECTED,1.4817,0.435,0.0473,1.0,0,BLOCKED,2.2079,0.525,0.1087,1.0,8,BLOCKED,2.2132,0.615,0.1086,1.0,6,BLOCKED,2.1282,0.48,0.053,1.0,10,BLOCKED
204,2.3896,0.705,0.3048,1.0,1,SELECTED,2.0834,0.39,0.027,1.0,10,BLOCKED,2.1875,0.57,0.0267,1.0,10,BLOCKED,2.4307,0.75,0.3048,1.0,1,SELECTED,2.2513,0.66,0.1421,1.0,4,BLOCKED,2.3488,0.795,0.2532,1.0,1,SELECTED,1.4548,0.435,0.0267,1.0,0,BLOCKED,2.1812,0.525,0.0865,1.0,9,BLOCKED,2.178,0.615,0.0823,1.0,7,BLOCKED,2.0903,0.48,0.0267,1.0,10,BLOCKED
210,2.4968,0.705,0.2964,1.0,2,SELECTED,2.0742,0.39,0.0191,1.0,10,BLOCKED,2.1745,0.57,0.0191,1.0,10,BLOCKED,2.4179,0.75,0.299,1.0,1,SELECTED,2.2321,0.66,0.1324,1.0,4,BLOCKED,2.3206,0.795,0.2414,1.0,1,SELECTED,1.444,0.435,0.0184,1.0,0,BLOCKED,2.0853,0.525,0.0213,1.0,10,BLOCKED,2.1743,0.615,0.0746,1.0,8,BLOCKED,2.0793,0.48,0.0191,1.0,10,BLOCKED
216,2.3604,0.705,0.291,1.0,1,SELECTED,2.0673,0.39,0.0132,1.0,10,BLOCKED,2.1645,0.57,0.0132,1.0,10,BLOCKED,2.4931,0.75,0.2925,1.0,1,SELECTED,2.2191,0.66,0.1258,1.0,4,BLOCKED,2.3957,0.795,0.2351,1.0,1,SELECTED,1.4366,0.435,0.0127,1.0,0,BLOCKED,2.075,0.525,0.0147,1.0,10,BLOCKED,2.1718,0.615,0.0687,1.0,9,BLOCKED,2.0708,0.48,0.0132,1.0,10,BLOCKED
222,2.4332,0.705,0.3254,1.0,1,SELECTED,2.1075,0.39,0.0476,1.0,10,BLOCKED,2.217,0.57,0.044,1.0,10,BLOCKED,2.4781,0.75,0.3258,1.0,1,SELECTED,2.1742,0.66,0.1032,1.0,4,BLOCKED,2.521,0.795,0.3254,1.0,1,SELECTED,1.4803,0.435,0.0462,1.0,0,BLOCKED,2.1268,0.525,0.0476,1.0,10,BLOCKED,2.1396,0.615,0.0476,1.0,10,BLOCKED,2.1203,0.48,0.0476,1.0,10,BLOCKED
228,2.3812,0.705,0.3008,1.0,1,SELECTED,2.0777,0.39,0.0221,1.0,10,BLOCKED,2.1795,0.57,0.022,1.0,10,BLOCKED,2.4218,0.75,0.3008,1.0,1,SELECTED,2.0881,0.66,0.0786,1.0,3,BLOCKED,2.55,0.795,0.2998,1.0,1,SELECTED,1.4487,0.435,0.022,1.0,0,BLOCKED,2.0881,0.525,0.023,1.0,10,BLOCKED,2.0924,0.615,0.022,1.0,10,BLOCKED,2.0835,0.48,0.022,1.0,10,BLOCKED
234,2.4911,0.705,0.2937,1.0,2,SELECTED,2.0726,0.39,0.0178,1.0,10,BLOCKED,2.1722,0.57,0.0178,1.0,10,BLOCKED,2.41,0.75,0.2955,1.0,1,SELECTED,2.0115,0.66,0.0714,1.0,2,BLOCKED,2.4499,0.795,0.2955,1.0,1,SELECTED,1.4399,0.435,0.0152,1.0,0,BLOCKED,2.0768,0.525,0.0159,1.0,10,BLOCKED,2.0846,0.615,0.0178,1.0,10,BLOCKED,2.0774,0.48,0.0178,1.0,10,BLOCKED
240,2.6123,0.705,0.3214,1.0,3,SELECTED,2.1029,0.39,0.0436,1.0,10,BLOCKED,2.2142,0.57,0.0424,1.0,10,BLOCKED,2.5553,0.75,0.3201,1.0,1,SELECTED,1.9414,0.66,0.0992,1.0,1,BLOCKED,2.6365,0.795,0.3214,1.0,2,SELECTED,1.4763,0.435,0.0431,1.0,0,BLOCKED,2.1205,0.525,0.0436,1.0,10,BLOCKED,2.1323,0.615,0.0436,1.0,10,BLOCKED,2.1146,0.48,0.0436,1.0,10,BLOCKED
246,2.4717,0.705,0.301,1.0,1,SELECTED,2.0791,0.39,0.0233,1.0,10,BLOCKED,2.1816,0.57,0.0233,1.0,10,BLOCKED,2.6374,0.75,0.301,1.0,2,SELECTED,1.4661,0.66,0.0233,1.0,0,BLOCKED,2.463,0.795,0.3011,1.0,1,SELECTED,1.4504,0.435,0.0233,1.0,0,BLOCKED,2.089,0.525,0.0236,1.0,10,BLOCKED,2.0947,0.615,0.0233,1.0,10,BLOCKED,2.0853,0.48,0.0233,1.0,10,BLOCKED
252,1.2625,0.705,0.3156,0.5,1,BLOCKED,0.9461,0.39,0.0378,0.5,10,BLOCKED,1.0089,0.57,0.01,0.5,10,BLOCKED,2.5451,0.75,0.3156,1.0,1,SELECTED,0.2905,0.66,0.0104,0.5,0,BLOCKED,2.4673,0.795,0.3029,1.0,1,SELECTED,0.2835,0.435,0.0104,0.5,0,BLOCKED,2.1114,0.525,0.0378,1.0,10,BLOCKED,2.1216,0.615,0.0378,1.0,10,SELECTED,2.1063,0.48,0.0378,1.0,10,BLOCKED
