action,cycle_id,link_id,link_mbps,link_monitor,link_usage_norm,rx_mbps,rx_pps,timestamp,tx_mbps,tx_pps
route_mutation,20260623T155633_131034,of:0000000000000003:2 -> of:0000000000000008:3,0.002,0.0025,0.002,0.002,2.63,2026-06-23T15:56:33,0.002,2.63
route_mutation,20260623T155633_131034,of:0000000000000008:1 -> of:000000000000000b:6,0.002,0.0025,0.002,0.002,1.93,2026-06-23T15:56:33,0.002,1.93
route_mutation,20260623T155633_131034,of:0000000000000004:2 -> of:0000000000000009:2,0.002,0.0025,0.002,0.002,2.56,2026-06-23T15:56:33,0.002,2.56
route_mutation,20260623T155633_131034,of:0000000000000002:1 -> of:000000000000000b:4,0.002,0.0025,0.002,0.002,1.9,2026-06-23T15:56:33,0.002,1.93
route_mutation,20260623T155633_131034,of:0000000000000009:1 -> of:000000000000000c:6,0.002,0.0025,0.002,0.002,1.86,2026-06-23T15:56:33,0.002,1.9
route_mutation,20260623T155703_439022,of:0000000000000004:1 -> of:000000000000000c:4,0.002,0.0025,0.002,0.002,1.8,2026-06-23T15:57:03,0.002,1.73
route_mutation,20260623T155703_439022,of:0000000000000005:1 -> of:000000000000000c:5,0.002,0.0025,0.002,0.002,1.8,2026-06-23T15:57:03,0.002,1.73
route_mutation,20260623T155703_439022,of:000000000000000a:1 -> of:000000000000000d:6,0.002,0.0025,0.002,0.002,1.76,2026-06-23T15:57:03,0.002,1.73
route_mutation,20260623T155703_439022,of:000000000000000b:3 -> of:000000000000000d:2,0.002,0.0025,0.002,0.002,2.16,2026-06-23T15:57:03,0.002,2.16
route_mutation,20260623T155703_439022,of:000000000000000c:3 -> of:000000000000000d:3,0.002,0.0025,0.002,0.002,2.13,2026-06-23T15:57:03,0.002,2.13
route_mutation,20260623T155703_439022,of:0000000000000005:2 -> of:0000000000000009:3,0.002,0.0025,0.002,0.002,2.23,2026-06-23T15:57:03,0.002,2.23
route_mutation,20260623T155703_439022,of:0000000000000001:1 -> of:000000000000000b:1,0.002,0.0025,0.002,0.002,1.7,2026-06-23T15:57:03,0.002,1.73
route_mutation,20260623T155703_439022,of:000000000000000b:2 -> of:000000000000000c:2,0.002,0.0025,0.002,0.002,2.16,2026-06-23T15:57:03,0.002,2.16
route_mutation,20260623T155703_439022,of:0000000000000001:2 -> of:000000000000000c:1,0.002,0.0025,0.002,0.002,1.66,2026-06-23T15:57:03,0.002,1.73
route_mutation,20260623T155703_439022,of:0000000000000006:2 -> of:000000000000000a:2,0.002,0.0025,0.002,0.002,2.2,2026-06-23T15:57:03,0.002,2.2
route_mutation,20260623T155703_439022,of:0000000000000001:3 -> of:000000000000000d:1,0.002,0.0025,0.002,0.002,2.9,2026-06-23T15:57:03,0.002,2.83
route_mutation,20260623T155703_439022,of:0000000000000003:1 -> of:000000000000000b:5,0.002,0.0025,0.002,0.002,1.73,2026-06-23T15:57:03,0.002,1.7
route_mutation,20260623T155703_439022,of:0000000000000006:1 -> of:000000000000000d:4,0.002,0.0025,0.002,0.002,1.76,2026-06-23T15:57:03,0.002,1.73
route_mutation,20260623T155703_439022,of:0000000000000007:2 -> of:000000000000000a:3,0.002,0.0025,0.002,0.002,2.2,2026-06-23T15:57:03,0.002,2.2
route_mutation,20260623T155703_439022,of:0000000000000007:1 -> of:000000000000000d:5,0.002,0.0025,0.002,0.002,2.86,2026-06-23T15:57:03,0.002,2.9
route_mutation,20260623T155703_439022,of:0000000000000002:2 -> of:0000000000000008:2,0.002,0.0025,0.002,0.002,2.16,2026-06-23T15:57:03,0.002,2.16
route_mutation,20260623T155703_439022,of:0000000000000003:2 -> of:0000000000000008:3,0.002,0.0025,0.002,0.002,2.16,2026-06-23T15:57:03,0.002,2.16
route_mutation,20260623T155703_439022,of:0000000000000008:1 -> of:000000000000000b:6,0.002,0.0025,0.002,0.002,1.76,2026-06-23T15:57:03,0.002,1.76
route_mutation,20260623T155703_439022,of:0000000000000004:2 -> of:0000000000000009:2,0.002,0.0025,0.002,0.002,2.23,2026-06-23T15:57:03,0.002,2.23
route_mutation,20260623T155703_439022,of:0000000000000002:1 -> of:000000000000000b:4,0.002,0.0025,0.002,0.002,1.73,2026-06-23T15:57:03,0.002,1.7
route_mutation,20260623T155703_439022,of:0000000000000009:1 -> of:000000000000000c:6,0.002,0.0025,0.002,0.002,1.76,2026-06-23T15:57:03,0.002,1.73
ip_shuffle,20260623T155733_730057,of:0000000000000004:1 -> of:000000000000000c:4,0.001,0.00125,0.001,0.001,1.47,2026-06-23T15:57:33,0.001,1.5
ip_shuffle,20260623T155733_730057,of:0000000000000005:1 -> of:000000000000000c:5,0.001,0.00125,0.001,0.001,1.47,2026-06-23T15:57:33,0.001,1.5
ip_shuffle,20260623T155733_730057,of:000000000000000a:1 -> of:000000000000000d:6,0.002,0.0025,0.002,0.002,1.57,2026-06-23T15:57:33,0.002,1.57
ip_shuffle,20260623T155733_730057,of:000000000000000b:3 -> of:000000000000000d:2,0.002,0.0025,0.002,0.002,1.8,2026-06-23T15:57:33,0.002,1.8
ip_shuffle,20260623T155733_730057,of:000000000000000c:3 -> of:000000000000000d:3,0.002,0.0025,0.002,0.002,1.8,2026-06-23T15:57:33,0.002,1.8
